Age,Gender,Amount,Interest,MonthlyPayment,UseOfLoan,Education,MaritalStatus,EmploymentStatus,WorkExperience,HomeOwnershipType,IncomeTotal,DebtToIncome,Status
58,1.0,287.59,30.0,0.0,5,3.0,5.0,2,5,0.0,10700.0,0.0,1
24,0.0,700.0,23.81,29.43,7,4.0,3.0,2,2,2.0,712.0,28.43,2
27,0.0,1000.0,17.74,28.17,7,4.0,3.0,2,3,6.0,560.0,47.56,0
26,0.0,2000.0,32.52,93.51,0,4.0,2.0,2,3,1.0,850.0,42.3,2
23,0.0,1000.0,57.09,53.62,7,3.0,3.0,2,2,2.0,1079.0,40.84,1
35,1.0,500.0,25.96,21.6,2,4.0,3.0,2,0,1.0,928.0,2.33,2
41,0.0,3000.0,22.33,92.17,8,5.0,1.0,2,1,8.0,1350.0,6.83,2
36,0.0,1000.0,22.72,30.95,7,3.0,2.0,2,0,1.0,614.0,5.04,1
52,0.0,1500.0,20.79,60.73,7,4.0,2.0,2,1,1.0,1215.0,5.0,2
46,1.0,1000.0,16.88,121.99,2,3.0,2.0,2,5,7.0,420.0,35.95,2
22,1.0,700.0,53.76,59.51,0,3.0,2.0,2,2,2.0,430.0,34.26,2
57,1.0,1400.0,16.38,53.57,2,5.0,1.0,2,5,1.0,779.0,65.16,2
37,0.0,2000.0,24.83,64.33,2,3.0,2.0,2,0,1.0,2400.0,13.1,1
42,0.0,1000.0,57.62,61.82,3,4.0,4.0,0,0,4.0,1050.0,26.84,1
32,0.0,3500.0,26.37,115.77,2,3.0,2.0,2,0,7.0,1622.0,7.14,1
29,0.0,3000.0,17.87,84.72,7,2.0,3.0,2,2,3.0,745.0,27.48,0
34,1.0,1000.0,31.12,35.97,7,5.0,1.0,2,3,1.0,1400.0,2.57,1
31,0.0,1500.0,57.09,80.42,7,3.0,1.0,2,0,3.0,1110.0,7.25,2
41,1.0,3000.0,22.01,124.58,2,4.0,1.0,2,1,1.0,2036.0,20.85,2
30,1.0,1500.0,34.76,62.62,5,3.0,3.0,2,0,3.0,1900.0,3.3,2
25,0.0,3000.0,27.98,102.12,0,3.0,3.0,2,0,4.0,1530.0,36.41,0
49,0.0,7900.0,33.32,294.98,0,4.0,4.0,2,5,3.0,3100.0,35.32,1
31,0.0,1000.0,92.69,81.06,3,5.0,1.0,2,4,3.0,1000.0,8.11,1
30,0.0,1500.0,29.25,52.84,7,4.0,2.0,0,3,3.0,1500.0,4.52,0
39,1.0,1500.0,27.71,51.44,0,4.0,1.0,2,3,1.0,445.0,30.89,0
39,0.0,2000.0,20.65,60.38,0,4.0,1.0,2,0,8.0,1260.0,48.68,2
47,0.0,1500.0,18.92,43.22,2,5.0,5.0,2,1,2.0,1918.0,5.38,2
47,1.0,1500.0,73.73,99.81,7,4.0,2.0,2,5,3.0,1206.0,33.9,0
49,0.0,3000.0,25.59,97.85,7,5.0,1.0,2,5,1.0,3300.0,2.97,1
35,0.0,800.0,24.83,25.73,7,3.0,3.0,1,0,8.0,1961.0,1.31,2
41,0.0,3000.0,73.73,217.47,7,5.0,1.0,2,1,6.0,2264.0,14.55,2
33,0.0,2000.0,22.69,82.92,7,4.0,2.0,2,0,1.0,2090.0,3.97,2
34,0.0,1500.0,24.46,47.93,0,3.0,2.0,2,2,3.0,1700.0,2.82,2
24,1.0,3000.0,76.08,203.83,2,2.0,2.0,2,4,7.0,849.0,67.47,1
42,0.0,1100.0,92.69,94.44,7,5.0,4.0,2,0,1.0,1550.0,6.09,1
60,0.0,800.0,32.38,29.74,7,4.0,3.0,1,5,3.0,1361.0,34.44,1
57,0.0,1500.0,30.56,53.42,7,5.0,3.0,2,5,5.0,1600.0,3.34,1
60,0.0,1000.0,57.09,53.62,7,2.0,1.0,1,5,1.0,1676.0,40.13,1
39,0.0,7500.0,17.87,211.8,2,2.0,1.0,2,1,1.0,917.0,23.1,1
27,0.0,1500.0,47.12,74.91,0,5.0,3.0,2,3,1.0,1598.0,7.69,2
22,1.0,800.0,25.69,34.77,1,2.0,3.0,2,2,3.0,751.0,60.16,2
30,0.0,1500.0,28.83,67.72,2,4.0,3.0,0,0,1.0,1500.0,28.25,2
30,0.0,1000.0,40.4,41.94,0,3.0,1.0,2,3,4.0,1350.0,22.66,2
68,1.0,1000.0,18.1,28.78,2,4.0,3.0,1,5,1.0,1430.0,7.61,0
46,0.0,3000.0,40.4,125.8,7,5.0,4.0,2,1,8.0,1000.0,12.58,1
41,0.0,1000.0,31.12,36.38,2,5.0,3.0,2,1,2.0,781.0,4.66,1
36,0.0,1315.0,73.73,99.19,7,4.0,3.0,2,0,2.0,1043.0,47.86,2
38,0.0,9340.0,18.4,285.29,7,3.0,2.0,2,1,1.0,2675.0,16.27,1
49,0.0,2000.0,23.74,63.07,0,3.0,1.0,2,5,1.0,2200.0,16.05,1
44,0.0,2500.0,43.95,111.85,2,4.0,3.0,2,2,1.0,392.0,28.53,1
37,0.0,1500.0,31.12,68.98,2,3.0,1.0,2,0,1.0,1697.0,4.06,1
48,0.0,2200.0,33.32,83.06,2,5.0,1.0,2,5,1.0,3411.0,2.44,2
38,1.0,5000.0,17.8,143.08,0,4.0,2.0,2,0,1.0,2048.0,20.41,1
50,0.0,5000.0,32.38,185.81,0,4.0,1.0,2,5,1.0,2627.0,20.35,1
53,1.0,1500.0,33.32,56.63,7,3.0,5.0,2,5,3.0,3250.0,1.74,1
52,0.0,1200.0,57.09,64.83,5,3.0,2.0,2,1,2.0,1138.0,5.7,1
32,1.0,5000.0,27.57,171.05,7,3.0,3.0,2,0,4.0,1282.0,24.5,2
28,0.0,6400.0,65.65,586.48,3,5.0,4.0,2,3,1.0,1035.0,69.67,1
39,0.0,2500.0,17.25,70.8,8,4.0,4.0,0,1,1.0,2800.0,2.53,1
33,1.0,1500.0,28.83,67.72,2,4.0,1.0,0,4,7.0,1590.0,40.17,2
27,0.0,1100.0,16.92,42.85,6,3.0,3.0,2,3,7.0,850.0,33.75,2
40,0.0,3000.0,40.4,136.89,5,5.0,1.0,2,1,1.0,1582.0,12.19,2
37,1.0,600.0,45.0,27.28,6,4.0,1.0,2,0,2.0,840.0,30.15,2
37,0.0,3000.0,21.76,92.45,2,3.0,2.0,0,1,1.0,3500.0,11.24,1
30,1.0,3000.0,23.03,126.18,7,4.0,2.0,2,0,3.0,2103.0,16.22,2
30,1.0,500.0,57.09,30.96,8,5.0,3.0,2,3,2.0,991.0,6.96,1
32,0.0,500.0,57.09,30.96,2,5.0,1.0,0,0,1.0,700.0,29.85,2
66,1.0,1500.0,57.09,81.04,7,4.0,5.0,1,5,7.0,1866.0,38.11,1
35,0.0,2500.0,73.81,181.36,7,3.0,3.0,0,1,2.0,2500.0,20.05,1
36,0.0,4500.0,34.27,172.61,0,3.0,2.0,2,0,4.0,2275.0,53.46,1
38,0.0,3000.0,22.01,92.87,2,5.0,1.0,2,1,1.0,2086.0,32.64,2
49,1.0,1500.0,40.4,77.52,2,1.0,1.0,2,3,8.0,2070.0,3.74,1
43,0.0,3000.0,20.03,89.53,2,3.0,1.0,2,1,7.0,970.0,54.9,2
32,0.0,500.0,57.09,27.01,7,4.0,3.0,2,0,2.0,900.0,29.0,1
37,0.0,10000.0,17.12,282.5,3,5.0,3.0,0,0,1.0,2000.0,14.12,2
35,1.0,500.0,73.73,33.28,7,3.0,1.0,2,1,7.0,600.0,38.88,1
27,1.0,3800.0,17.28,107.68,2,4.0,1.0,2,3,1.0,568.0,18.96,1
27,1.0,500.0,31.12,18.19,7,4.0,3.0,2,0,2.0,974.0,32.16,1
47,0.0,1300.0,19.66,52.42,2,4.0,3.0,2,1,1.0,1500.0,3.49,2
42,0.0,500.0,40.4,21.18,3,3.0,1.0,2,0,4.0,1700.0,1.25,2
57,0.0,1000.0,31.12,46.4,2,5.0,4.0,2,5,1.0,1251.0,3.71,1
56,0.0,3000.0,23.74,94.61,0,3.0,1.0,2,5,1.0,3100.0,3.05,1
51,0.0,6000.0,17.35,170.24,7,1.0,3.0,2,4,2.0,625.0,27.24,1
26,0.0,500.0,73.73,33.28,7,2.0,2.0,0,3,3.0,1890.0,1.76,1
28,0.0,500.0,73.73,33.28,7,4.0,3.0,2,3,2.0,936.0,3.56,1
46,1.0,1400.0,14.97,53.18,5,5.0,4.0,2,1,8.0,1212.0,5.54,2
33,0.0,3700.0,17.87,106.02,3,2.0,2.0,2,3,1.0,1105.0,20.54,2
40,0.0,1000.0,31.12,36.38,7,1.0,3.0,1,0,2.0,817.0,35.05,2
31,1.0,4000.0,17.8,114.47,0,4.0,1.0,2,0,1.0,2620.0,16.58,2
39,0.0,1000.0,31.9,36.86,0,4.0,4.0,2,1,6.0,1000.0,66.39,2
45,0.0,5000.0,31.12,299.11,2,3.0,1.0,2,1,1.0,1662.0,18.0,1
42,1.0,3000.0,39.28,124.83,0,3.0,2.0,2,0,4.0,2150.0,22.09,1
52,1.0,3000.0,17.87,118.26,1,3.0,1.0,2,1,4.0,465.0,29.09,2
38,0.0,1200.0,92.69,97.77,7,4.0,3.0,2,1,2.0,1597.0,11.51,1
66,1.0,1000.0,21.76,30.81,7,4.0,5.0,1,5,1.0,1330.0,14.95,1
47,1.0,3000.0,57.09,162.08,7,5.0,3.0,2,1,3.0,1325.0,32.91,2
36,1.0,3000.0,17.66,85.63,2,4.0,2.0,2,3,8.0,2334.0,14.99,2
39,0.0,1000.0,40.4,51.67,7,4.0,2.0,2,1,1.0,1157.0,4.47,2
65,0.0,1500.0,18.72,43.68,7,4.0,2.0,1,5,3.0,1725.0,22.18,1
23,1.0,500.0,40.4,21.18,8,5.0,3.0,2,4,2.0,600.0,3.53,1
50,0.0,4000.0,18.25,115.45,2,5.0,1.0,2,5,1.0,2300.0,18.06,1
34,0.0,3700.0,27.17,125.68,4,3.0,1.0,2,0,1.0,2200.0,17.08,2
50,0.0,3000.0,73.73,199.62,7,3.0,4.0,0,1,3.0,1020.0,36.24,1
48,1.0,3000.0,21.76,92.45,2,4.0,3.0,2,5,1.0,2400.0,21.44,2
34,1.0,2600.0,20.8,78.71,7,4.0,2.0,2,2,3.0,1100.0,23.97,2
50,1.0,1700.0,17.48,66.69,2,4.0,1.0,2,5,1.0,1320.0,15.51,2
33,0.0,2500.0,37.24,100.68,7,5.0,1.0,2,0,8.0,2972.0,23.69,1
63,0.0,1500.0,31.12,69.6,2,3.0,1.0,1,5,1.0,1630.0,50.9,2
53,0.0,1500.0,24.7,48.76,7,4.0,3.0,2,1,2.0,885.0,5.51,0
29,0.0,3090.0,27.17,135.88,7,4.0,2.0,2,0,1.0,2500.0,5.44,2
47,0.0,700.0,92.69,57.03,8,1.0,3.0,1,1,5.0,833.0,6.85,1
30,0.0,10000.0,23.57,318.52,1,4.0,3.0,0,3,4.0,1050.0,69.86,0
38,0.0,6100.0,21.06,250.34,2,5.0,1.0,2,0,8.0,3819.0,19.39,2
55,1.0,3700.0,22.01,114.54,6,4.0,1.0,2,5,4.0,1597.0,19.38,0
35,0.0,6200.0,17.87,177.67,0,4.0,2.0,2,0,9.0,1413.0,53.75,1
47,0.0,7000.0,57.09,378.18,4,3.0,2.0,2,5,1.0,1339.0,43.33,1
40,0.0,1000.0,57.09,56.63,7,1.0,3.0,2,1,4.0,1200.0,4.72,1
36,1.0,1500.0,40.4,63.53,8,5.0,3.0,2,0,3.0,1200.0,40.71,2
32,1.0,1500.0,73.73,99.81,5,4.0,1.0,2,0,2.0,1050.0,15.03,1
67,0.0,2365.0,18.92,87.69,7,4.0,1.0,1,5,1.0,1913.0,4.58,1
31,1.0,1000.0,57.09,54.03,2,4.0,3.0,2,3,4.0,1232.0,4.39,1
41,1.0,2500.0,18.72,72.79,5,4.0,1.0,2,1,1.0,2622.0,14.22,2
34,0.0,1700.0,24.7,61.76,2,3.0,3.0,2,0,1.0,900.0,6.86,1
50,0.0,1500.0,23.03,47.31,2,3.0,2.0,1,5,8.0,1980.0,2.39,1
43,0.0,1000.0,24.7,32.51,7,5.0,4.0,2,1,2.0,1215.0,15.02,1
27,0.0,500.0,57.09,27.01,4,4.0,3.0,2,3,2.0,920.0,2.94,1
27,1.0,500.0,92.69,40.74,2,4.0,2.0,0,3,2.0,853.0,30.68,1
28,0.0,1500.0,33.29,56.61,7,4.0,3.0,2,3,2.0,2619.0,2.16,1
26,1.0,1400.0,26.76,47.22,0,3.0,4.0,2,2,3.0,1500.0,3.15,1
32,0.0,2000.0,26.11,66.68,2,4.0,3.0,2,0,2.0,722.0,28.6,0
39,1.0,1400.0,31.12,50.93,2,3.0,3.0,2,1,1.0,1200.0,4.24,1
53,1.0,500.0,27.66,17.13,7,4.0,5.0,2,3,5.0,660.0,43.81,1
49,0.0,1500.0,30.56,54.04,2,4.0,1.0,2,1,1.0,1900.0,5.48,1
32,0.0,4900.0,22.08,151.88,3,4.0,2.0,2,0,7.0,855.0,24.29,2
42,0.0,2000.0,21.76,61.64,7,3.0,2.0,2,1,7.0,2400.0,29.24,1
29,0.0,2000.0,21.76,61.64,2,4.0,3.0,2,1,1.0,2200.0,2.8,2
43,1.0,2000.0,18.1,65.52,6,4.0,2.0,2,1,5.0,3260.0,36.54,1
43,0.0,1100.0,21.76,33.9,2,3.0,2.0,2,1,1.0,3600.0,0.94,0
55,1.0,2000.0,21.76,61.64,7,5.0,2.0,2,5,1.0,2400.0,45.9,1
26,1.0,2795.0,29.68,129.21,0,3.0,3.0,2,2,4.0,2020.0,18.77,1
52,0.0,1875.0,33.32,75.51,2,2.0,1.0,2,5,1.0,2000.0,3.78,2
52,1.0,4500.0,20.1,134.48,7,4.0,1.0,2,5,1.0,474.0,28.37,0
35,0.0,5000.0,31.12,181.88,6,5.0,3.0,2,3,2.0,1600.0,16.98,2
34,1.0,1500.0,31.92,55.31,2,2.0,2.0,2,3,7.0,1700.0,3.25,1
38,0.0,1800.0,31.12,65.48,2,5.0,3.0,2,1,4.0,1068.0,6.13,1
56,0.0,800.0,16.38,22.29,7,2.0,3.0,2,1,6.0,428.0,41.26,1
30,0.0,2000.0,61.49,233.9,3,4.0,3.0,0,0,2.0,2100.0,26.38,2
52,0.0,1200.0,31.12,43.65,4,5.0,4.0,2,3,8.0,1327.0,11.2,1
62,0.0,5500.0,18.25,180.61,2,3.0,1.0,1,5,8.0,2609.0,14.21,1
44,0.0,3000.0,17.38,117.52,8,4.0,1.0,2,1,4.0,1567.0,45.79,1
37,1.0,3000.0,25.21,98.42,2,3.0,1.0,2,1,8.0,4258.0,31.39,1
42,1.0,1500.0,30.56,54.04,4,5.0,1.0,2,1,3.0,1700.0,5.53,1
30,0.0,6000.0,24.61,194.74,7,2.0,3.0,2,2,1.0,792.0,66.89,1
39,0.0,2000.0,21.76,61.64,2,3.0,4.0,2,1,8.0,2400.0,26.53,1
58,1.0,1000.0,40.4,42.35,0,5.0,4.0,0,1,1.0,1350.0,21.95,2
32,1.0,1000.0,31.12,36.38,6,4.0,3.0,2,3,2.0,1206.0,3.02,1
42,1.0,1600.0,57.09,86.44,0,3.0,3.0,2,1,2.0,1707.0,34.3,1
67,1.0,1000.0,21.76,30.81,7,3.0,4.0,1,5,5.0,1276.0,5.55,2
46,0.0,4000.0,18.25,115.45,7,3.0,1.0,2,5,3.0,2235.0,19.53,1
23,0.0,3200.0,32.98,120.14,6,2.0,2.0,2,3,3.0,800.0,15.02,1
69,1.0,1000.0,33.32,37.75,7,2.0,3.0,1,1,3.0,1200.0,3.15,0
42,0.0,1300.0,24.7,42.26,1,3.0,3.0,2,1,4.0,1279.0,58.03,1
35,0.0,1500.0,26.76,50.59,0,5.0,1.0,2,0,1.0,2729.0,7.9,1
32,0.0,3000.0,31.12,109.14,2,5.0,1.0,2,3,1.0,1900.0,10.53,1
56,1.0,1600.0,40.4,82.68,3,5.0,1.0,2,5,1.0,3907.0,58.4,2
49,0.0,900.0,73.73,59.89,3,4.0,1.0,2,1,4.0,1260.0,46.3,1
25,0.0,2700.0,45.32,123.33,7,4.0,2.0,2,3,3.0,573.0,48.92,2
58,0.0,1000.0,33.32,37.75,7,5.0,2.0,2,5,1.0,2900.0,3.89,1
37,0.0,2000.0,20.94,81.96,3,4.0,3.0,2,1,1.0,1937.0,14.56,2
48,1.0,1000.0,26.1,33.33,7,4.0,3.0,2,5,4.0,750.0,43.91,2
33,0.0,1000.0,40.4,42.35,4,5.0,2.0,2,0,2.0,1150.0,3.68,2
30,0.0,1000.0,33.79,38.05,7,5.0,2.0,2,3,4.0,2066.0,38.14,1
44,0.0,500.0,73.73,36.46,7,4.0,3.0,2,2,3.0,980.0,3.72,1
27,0.0,1500.0,57.09,130.9,7,5.0,3.0,2,2,3.0,1169.0,11.2,2
47,0.0,500.0,23.36,21.11,2,4.0,2.0,0,1,1.0,800.0,2.64,2
38,1.0,600.0,15.88,23.06,4,4.0,3.0,2,0,1.0,845.0,22.26,2
27,1.0,3000.0,28.22,103.8,1,4.0,2.0,2,2,2.0,577.0,56.29,2
54,1.0,3500.0,20.1,104.59,7,4.0,1.0,2,5,7.0,411.0,31.77,2
23,0.0,500.0,57.09,30.96,5,5.0,3.0,2,4,3.0,990.0,3.13,1
22,1.0,1100.0,26.79,37.12,6,2.0,3.0,2,4,3.0,554.0,6.7,2
43,1.0,600.0,57.09,32.42,1,5.0,3.0,2,0,1.0,1620.0,2.0,1
47,1.0,1000.0,33.32,37.75,6,4.0,4.0,2,5,4.0,2300.0,1.64,0
41,0.0,600.0,34.18,28.86,6,4.0,1.0,2,1,3.0,1300.0,14.65,1
64,0.0,500.0,30.06,22.92,7,4.0,1.0,1,5,7.0,760.0,3.02,2
23,0.0,5100.0,34.46,196.24,1,4.0,1.0,2,2,2.0,884.0,50.37,1
32,0.0,1000.0,73.73,72.9,7,3.0,3.0,2,0,2.0,1100.0,6.63,2
35,1.0,1000.0,57.09,54.03,2,4.0,3.0,2,2,3.0,1543.0,35.91,2
24,1.0,1500.0,27.98,51.68,0,3.0,1.0,2,3,1.0,1730.0,18.77,1
45,0.0,1500.0,73.73,99.81,7,4.0,1.0,2,5,1.0,1687.0,43.74,1
40,0.0,500.0,26.08,21.83,5,5.0,3.0,2,1,1.0,1300.0,1.68,2
28,0.0,2300.0,40.4,118.86,6,3.0,3.0,2,3,1.0,966.0,24.0,2
29,1.0,2000.0,25.96,66.51,2,4.0,1.0,2,3,4.0,2000.0,3.33,1
59,1.0,700.0,15.62,26.81,7,4.0,1.0,2,5,7.0,600.0,15.49,2
28,1.0,500.0,17.79,19.7,2,5.0,2.0,2,3,1.0,790.0,57.37,2
30,1.0,500.0,40.4,21.18,1,4.0,3.0,2,0,4.0,1050.0,2.02,2
38,0.0,3000.0,27.17,132.75,2,4.0,2.0,2,0,8.0,1848.0,26.17,1
41,1.0,2500.0,17.69,71.39,2,5.0,1.0,2,1,1.0,581.0,37.63,2
67,1.0,2000.0,19.65,67.16,8,3.0,5.0,1,1,1.0,320.0,20.99,2
32,0.0,3000.0,31.12,109.14,2,4.0,1.0,2,0,1.0,1463.0,54.62,2
47,1.0,3500.0,17.95,100.45,0,4.0,4.0,2,5,4.0,2631.0,44.77,1
44,1.0,4000.0,17.38,156.7,7,5.0,1.0,0,1,4.0,1800.0,47.04,2
22,0.0,1800.0,32.52,84.92,0,2.0,3.0,2,2,4.0,513.0,29.22,2
61,0.0,500.0,57.09,27.01,2,4.0,1.0,1,1,5.0,1453.0,18.1,2
42,0.0,900.0,31.9,33.18,7,4.0,1.0,2,1,1.0,1400.0,2.37,1
57,1.0,3000.0,21.76,92.45,2,4.0,1.0,2,1,8.0,2696.0,3.43,2
29,0.0,2600.0,36.22,111.92,2,5.0,3.0,2,3,3.0,2500.0,20.83,2
42,1.0,600.0,21.93,18.54,2,4.0,4.0,2,0,8.0,1231.0,46.03,2
42,0.0,500.0,24.87,16.3,7,4.0,1.0,2,1,2.0,990.0,12.76,1
56,1.0,2000.0,15.8,55.09,0,5.0,1.0,2,5,1.0,900.0,44.74,0
29,0.0,800.0,25.96,34.88,2,3.0,3.0,2,3,3.0,1250.0,2.79,2
49,0.0,223.6797,33.0,0.0,6,4.0,1.0,2,5,0.0,14000.0,0.0,1
56,1.0,1500.0,21.76,46.23,7,3.0,4.0,2,1,6.0,1500.0,15.75,1
34,0.0,1500.0,24.7,48.76,1,4.0,3.0,2,0,2.0,650.0,33.81,2
29,1.0,4500.0,17.8,128.78,7,3.0,3.0,2,3,4.0,2114.0,15.55,1
60,1.0,1500.0,30.56,54.04,2,2.0,3.0,1,1,8.0,1900.0,2.84,2
53,0.0,3000.0,18.1,86.34,1,5.0,2.0,0,5,1.0,3128.0,7.17,1
28,0.0,500.0,29.71,22.81,7,4.0,3.0,2,3,2.0,800.0,9.85,2
32,0.0,600.0,92.69,48.88,2,5.0,3.0,2,0,1.0,1800.0,2.72,1
34,0.0,3000.0,25.01,98.07,2,1.0,2.0,0,2,2.0,450.0,42.9,1
33,1.0,3000.0,17.8,118.16,2,5.0,1.0,2,3,1.0,1464.0,13.54,2
27,0.0,4000.0,26.66,134.66,0,4.0,2.0,2,2,3.0,930.0,28.03,2
25,0.0,500.0,35.13,24.32,6,2.0,2.0,2,3,1.0,900.0,35.04,2
60,0.0,1500.0,22.22,46.62,2,4.0,4.0,2,4,1.0,568.0,8.21,2
31,0.0,500.0,25.96,21.81,2,4.0,2.0,2,3,7.0,900.0,2.42,2
27,1.0,2000.0,17.66,57.08,7,4.0,1.0,2,2,1.0,2440.0,2.34,0
29,0.0,2000.0,22.69,62.69,0,3.0,3.0,2,3,1.0,2400.0,27.61,2
40,0.0,1000.0,15.51,27.39,7,4.0,3.0,2,3,1.0,1000.0,47.88,0
51,1.0,3000.0,23.33,95.14,2,5.0,1.0,2,5,1.0,640.0,50.33,0
27,1.0,8000.0,21.02,243.18,7,4.0,2.0,2,3,3.0,2233.0,10.89,2
42,1.0,3500.0,29.59,124.03,0,4.0,1.0,2,1,7.0,382.0,32.47,1
29,0.0,2000.0,22.69,62.69,3,3.0,1.0,0,3,1.0,2000.0,15.63,1
29,0.0,1000.0,18.92,39.95,1,3.0,3.0,2,3,2.0,1250.0,36.64,1
67,1.0,2500.0,20.64,75.45,0,5.0,5.0,2,5,1.0,500.0,32.18,0
35,0.0,800.0,25.96,26.6,7,4.0,2.0,2,1,1.0,1000.0,10.26,0
46,0.0,1400.0,17.25,39.65,7,4.0,2.0,2,1,1.0,2970.0,8.57,1
66,0.0,2000.0,22.45,62.42,0,5.0,1.0,2,5,5.0,1700.0,26.14,2
37,0.0,1000.0,24.1,32.16,2,3.0,3.0,1,3,1.0,1162.0,18.6,1
32,1.0,3000.0,26.37,100.48,7,5.0,1.0,2,3,5.0,2126.0,7.08,1
27,1.0,5000.0,34.34,192.0,0,4.0,3.0,2,4,7.0,814.0,61.44,1
39,0.0,500.0,16.75,19.44,7,2.0,4.0,2,1,3.0,931.0,29.1,2
37,1.0,2000.0,15.51,54.78,0,4.0,1.0,2,1,1.0,575.0,55.75,0
24,0.0,1000.0,18.92,39.95,7,5.0,3.0,2,4,2.0,1876.0,2.13,2
29,1.0,2000.0,36.23,79.24,2,3.0,3.0,2,3,1.0,1694.0,40.92,1
39,0.0,1600.0,44.37,77.05,0,5.0,2.0,0,1,4.0,2230.0,33.36,1
38,1.0,2700.0,24.1,86.83,2,5.0,3.0,2,0,3.0,2200.0,44.86,1
39,0.0,1500.0,16.75,42.08,3,4.0,1.0,2,1,1.0,1800.0,27.0,1
33,0.0,5200.0,17.35,203.63,0,4.0,3.0,2,0,3.0,1365.0,23.71,1
38,0.0,1500.0,40.4,63.53,2,4.0,3.0,0,2,2.0,1800.0,12.75,1
22,1.0,3000.0,26.67,101.01,7,2.0,2.0,1,4,1.0,647.0,27.95,2
38,1.0,95.8697,45.0,0.0,7,3.0,1.0,2,1,0.0,16300.0,0.0,2
53,1.0,2500.0,15.51,68.47,1,5.0,3.0,2,5,1.0,1300.0,47.12,1
37,1.0,1000.0,31.92,46.84,7,4.0,3.0,2,3,3.0,2370.0,3.24,1
61,0.0,1400.0,22.31,43.58,0,4.0,2.0,2,5,4.0,531.0,47.0,1
47,1.0,1000.0,17.83,28.63,7,4.0,3.0,2,0,4.0,800.0,50.54,1
34,0.0,1900.0,73.73,138.52,7,4.0,2.0,2,3,3.0,869.0,15.94,1
49,0.0,3100.0,16.79,87.03,0,4.0,1.0,2,5,8.0,928.0,33.73,2
37,1.0,4000.0,17.71,114.27,7,2.0,1.0,2,0,1.0,589.0,19.4,1
35,0.0,500.0,30.56,18.02,7,3.0,3.0,2,1,3.0,1600.0,23.0,2
40,0.0,7000.0,21.52,214.76,2,3.0,1.0,2,0,1.0,2564.0,10.17,2
37,0.0,500.0,57.09,27.01,7,4.0,4.0,0,1,3.0,980.0,2.76,1
32,0.0,700.0,35.31,72.41,7,3.0,3.0,2,3,2.0,900.0,16.93,2
44,0.0,1200.0,16.45,33.47,0,4.0,3.0,2,1,3.0,1300.0,68.73,2
47,0.0,2000.0,16.76,56.11,6,4.0,2.0,2,1,3.0,663.0,62.16,1
45,1.0,3000.0,17.36,97.13,2,5.0,4.0,2,3,7.0,1685.0,35.2,1
32,1.0,900.0,16.92,35.05,2,2.0,2.0,2,3,1.0,645.0,10.09,2
51,0.0,1500.0,16.49,58.1,0,4.0,2.0,2,5,7.0,850.0,6.84,2
43,0.0,2000.0,24.12,72.0,2,5.0,1.0,2,1,1.0,707.0,52.05,1
