No,Item_Identifier,Item_Weight,Item_Fat_Content,Item_Visibility,Item_Type,Item_MRP,Outlet_Identifier,Outlet_Establishment_Year,Outlet_Size,Outlet_Location_Type,Outlet_Type,Item_Outlet_Sales
4370,FDS60,20.85,1,.032448523,7,177.866,9,1997,1,1,2,1078.596
4432,FDU40,20.85,1,.037396901,4,193.8478,7,2004,1,2,2,2712.4692
4707,FDV58,20.85,1,.121227447,2,197.5452,7,2004,1,2,2,4306.3944
4966,FDP59,20.85,2,.056465714,11,103.6648,9,1997,1,1,2,2285.0256
6327,FDB45,20.85,1,.021329793,1,105.5306,9,1997,1,1,2,940.7754
6594,FDN27,20.85,1,.039555016,10,116.8808,7,2004,1,2,2,820.2656
7791,FDU40,20.85,1,.037403973,4,192.5478,9,1997,1,1,2,2906.217
8247,FDS60,20.85,1,.032442388,7,178.366,7,2004,1,2,2,4673.916
227,FDW20,20.75,1,.024129332,1,124.173,2,1987,3,3,2,2956.152
1849,FDQ37,20.75,1,.089186387,14,193.3478,2,1987,3,3,2,6006.1818
2924,DRE49,20.75,1,.021232318,9,151.1024,2,1987,3,3,2,2428.8384
3827,NCA05,20.75,1,0,8,149.4734,2,1987,3,3,2,2969.468
4418,FDF53,20.75,2,.083536989,4,180.3318,2,1987,3,3,2,4149.9314
8015,FDW58,20.75,1,.007546808,2,104.1622,2,1987,3,3,2,1693.7952
1127,FDF53,20.75,2,.083736551,4,178.7318,10,1999,2,1,2,3428.2042
3716,FDO57,20.75,1,.108879177,2,161.5578,10,1999,2,1,2,320.9156
4205,FDI09,20.75,2,.12953868,15,240.288,10,1999,2,1,2,2396.88
4954,DRE49,20.75,1,.02128304,9,153.5024,10,1999,2,1,2,2428.8384
6022,NCA05,20.75,1,.025169703,8,150.4734,10,1999,2,1,2,1187.7872
390,DRE49,20.75,1,.021250002,9,150.5024,9,1997,1,1,2,2580.6408
649,FDF53,20.75,2,.083590755,4,182.2318,7,2004,1,2,2,3067.3406
989,FDO57,20.75,1,.108710162,2,161.7578,9,1997,1,1,2,2888.2404
1070,FDQ37,20.75,1,.089260667,14,193.4478,9,1997,1,1,2,4843.695
1972,FDI09,20.75,2,.129337594,15,238.188,9,1997,1,1,2,5033.448
2218,DRE49,20.75,1,0,9,153.0024,7,2004,1,2,2,2428.8384
2992,FDW58,20.75,1,.007551665,2,107.1622,7,2004,1,2,2,1693.7952
3463,FDO57,20.75,1,.108689606,2,159.3578,7,2004,1,2,2,4492.8184
4647,NCA05,20.75,1,.02512588,8,150.4734,7,2004,1,2,2,890.8404
4720,FDW20,20.75,1,.024144862,1,123.373,7,2004,1,2,2,2093.941
4890,FDP01,20.75,2,.063313974,14,153.7682,7,2004,1,2,2,1829.6184
5792,NCA05,20.75,1,.025130632,8,150.0734,9,1997,1,1,2,2524.0478
6784,FDQ37,20.75,1,.089243789,14,192.0478,7,2004,1,2,2,4649.9472
8518,FDF53,20.75,2,.083606565,4,178.8318,9,1997,1,1,2,3608.636
331,DRH39,20.7,1,.09261307,5,76.367,2,1987,3,3,2,306.268
2180,NCE54,20.7,1,.026877471,3,74.6354,2,1987,3,3,2,1053.2956
2269,FDE32,20.7,1,.048718334,1,38.7506,2,1987,3,3,2,227.7036
3455,FDD14,20.7,1,.169667145,6,183.5266,2,1987,3,3,2,4426.2384
4807,FDJ20,20.7,2,.100091576,1,125.5388,2,1987,3,3,2,2105.2596
5598,FDL51,20.7,2,.04745185,5,214.6876,2,1987,3,3,2,3001.4264
7175,FDX27,20.7,2,.114022125,5,92.9436,2,1987,3,3,2,2174.5028
8513,FDR26,20.7,1,.04280113,5,178.3028,2,1987,3,3,2,2479.4392
439,FDL51,20.7,2,.047565208,5,213.4876,10,1999,2,1,2,1929.4884
563,FDJ20,20.7,2,.100330684,1,123.4388,10,1999,2,1,2,1238.388
1187,FDZ47,20.7,2,.079419755,7,99.8042,10,1999,2,1,2,1488.063
1550,FDX27,20.7,2,.114294512,5,94.9436,10,1999,2,1,2,1229.0668
2146,FDH24,20.7,1,.021464454,7,156.6288,10,1999,2,1,2,3928.22
7255,FDD14,20.7,1,.170072462,6,183.8266,10,1999,2,1,2,1844.266
7710,DRH39,20.7,1,.092834313,5,77.667,10,1999,2,1,2,2220.443
7811,FDV52,20.7,2,.121709653,4,119.7466,10,1999,2,1,2,2003.3922
8287,NCP06,20.7,1,.039306822,3,150.7366,10,1999,2,1,2,3325.0052
661,FDE32,20.7,1,.04874969,1,37.5506,7,2004,1,2,2,113.8518
715,FDR26,20.7,1,.042836778,5,175.8028,9,1997,1,1,2,1593.9252
955,FDX27,20.7,2,.11411709,5,92.7436,9,1997,1,1,2,1323.6104
1296,FDH24,20.7,1,.021427082,7,156.5288,7,2004,1,2,2,1571.288
1732,FDE32,20.7,1,.04875891,1,37.3506,9,1997,1,1,2,834.9132
2789,FDD14,20.7,1,.169776346,6,184.4266,7,2004,1,2,2,3688.532
3168,FDL51,20.7,2,.047482391,5,215.9876,7,2004,1,2,2,3430.2016
3800,FDV52,20.7,2,.12152072,4,118.0466,9,1997,1,1,2,1060.6194
4083,FDZ47,20.7,2,.07929647,7,97.2042,9,1997,1,1,2,1686.4714
4936,NCP06,20.7,1,.039238384,3,152.8366,7,2004,1,2,2,2569.3222
5946,DRH39,20.7,1,0,5,78.467,9,1997,1,1,2,1607.907
6033,NCP06,20.7,1,.039245805,3,151.4366,9,1997,1,1,2,1511.366
6220,NCE54,20.7,1,.02689477,3,76.7354,7,2004,1,2,2,2482.7682
6774,FDZ47,20.7,2,.079281476,7,100.1042,7,2004,1,2,2,892.8378
6978,FDH24,20.7,1,.021431134,7,157.0288,9,1997,1,1,2,2199.8032
7706,FDL51,20.7,2,.047491371,5,213.9876,9,1997,1,1,2,2143.876
7915,NCE54,20.7,1,.026899856,3,73.9354,9,1997,1,1,2,677.1186
913,FDP24,20.6,1,.082935004,7,119.5756,2,1987,3,3,2,2665.8632
2025,NCA17,20.6,1,.045380404,8,148.4392,2,1987,3,3,2,1789.6704
2560,FDD10,20.6,2,.045982389,2,177.0344,2,1987,3,3,2,535.3032
6845,FDG09,20.6,2,.047896393,1,185.8556,2,1987,3,3,2,1689.8004
8115,NCR30,20.6,1,.070933894,3,74.8696,2,1987,3,3,2,223.7088
622,FDP24,20.6,1,.083133128,7,120.1756,10,1999,2,1,2,1332.9316
5069,FDG09,20.6,2,.048010812,1,187.7556,10,1999,2,1,2,3004.0896
5824,NCR30,20.6,1,.071103348,3,75.4696,10,1999,2,1,2,1416.8224
689,FDG09,20.6,2,.04792722,1,185.9556,7,2004,1,2,2,4318.3788
754,FDY26,20.6,2,.030510526,5,211.4244,9,1997,1,1,2,7833.8028
2711,FDB32,20.6,1,.023448504,1,93.9778,7,2004,1,2,2,2816.334
3426,NCA17,20.6,1,0,8,148.8392,9,1997,1,1,2,2684.5056
3830,FDD10,20.6,2,0,2,178.1344,7,2004,1,2,2,3568.688
4320,FDP24,20.6,1,.083004078,7,119.4756,9,1997,1,1,2,1090.5804
5251,FDY26,20.6,2,.030504756,5,212.6244,7,2004,1,2,2,3599.3148
5614,FDG09,20.6,2,.047936284,1,185.7556,9,1997,1,1,2,3942.8676
2371,NCA06,20.5,1,.143164371,3,34.919,2,1987,3,3,2,73.238
3606,FDP08,20.5,2,.112316501,1,193.9478,2,1987,3,3,2,4456.1994
4110,NCM26,20.5,1,.02312394,16,154.634,2,1987,3,3,2,2297.01
4477,FDM32,20.5,1,.020587886,1,89.583,2,1987,3,3,2,1797.66
5798,FDC11,20.5,1,.141674844,13,90.7172,2,1987,3,3,2,1605.9096
6333,NCP30,20.5,1,.032741422,3,40.4822,2,1987,3,3,2,589.233
7762,FDH53,20.5,2,.019183756,4,83.7592,2,1987,3,3,2,1403.5064
7983,FDQ44,20.5,1,.036110222,1,120.1756,2,1987,3,3,2,2059.9852
2520,NCP30,20.5,1,.032819637,3,38.9822,10,1999,2,1,2,982.055
3927,NCM26,20.5,1,.023179181,16,154.034,10,1999,2,1,2,2450.144
7105,NCA06,20.5,1,.143506376,3,34.719,10,1999,2,1,2,768.999
7128,FDZ60,20.5,1,.119547387,7,108.9596,10,1999,2,1,2,539.298
7358,FDP08,20.5,2,.112584813,1,192.0478,10,1999,2,1,2,1549.9824
452,FDH53,20.5,2,.019199733,4,84.3592,9,1997,1,1,2,1816.3024
2105,FDZ60,20.5,1,.119339241,7,106.0596,7,2004,1,2,2,970.7364
2904,FDD16,20.5,1,.036346224,4,72.9696,7,2004,1,2,2,596.5568
4126,FDC11,20.5,1,.141792841,13,89.7172,9,1997,1,1,2,1159.8236
4521,FDQ44,20.5,1,.036140297,1,120.0756,9,1997,1,1,2,2302.3364
4750,FDH53,20.5,2,0,4,82.8592,7,2004,1,2,2,908.1512
5065,FDD16,20.5,1,.036353098,4,75.8696,9,1997,1,1,2,2386.2272
5241,NCP30,20.5,1,.032762495,3,40.0822,7,2004,1,2,2,1257.0304
5271,NCA06,20.5,1,.143283608,3,37.919,9,1997,1,1,2,183.095
6155,FDP08,20.5,2,.112410046,1,192.2478,9,1997,1,1,2,3874.956
7038,FDM32,20.5,1,.020605032,1,91.083,9,1997,1,1,2,539.298
8504,FDQ44,20.5,1,.036133463,1,120.1756,7,2004,1,2,2,3392.9168
272,FDS26,20.35,1,.089394766,5,260.1594,2,1987,3,3,2,2093.2752
1439,FDL46,20.35,1,.054011943,2,116.5466,2,1987,3,3,2,1885.5456
3335,NCQ42,20.35,1,.039235527,3,127.2678,2,1987,3,3,2,1017.3424
4758,FDG60,20.35,1,.060649213,7,232.7616,2,1987,3,3,2,2812.3392
6492,FDQ15,20.35,2,.150947728,10,81.0276,2,1987,3,3,2,1868.2348
7061,FDX31,20.35,2,.014813268,1,234.9958,2,1987,3,3,2,5842.395
738,FDA10,20.35,1,0,2,120.9072,10,1999,2,1,2,1470.0864
745,NCQ42,20.35,1,.039329257,3,127.6678,10,1999,2,1,2,2924.8594
2695,FDS26,20.35,1,.089608321,5,262.1594,10,1999,2,1,2,3139.9128
3273,FDR39,20.35,1,.083929569,10,182.4292,10,1999,2,1,2,4925.5884
3631,FDA27,20.35,2,.030975716,5,253.9672,10,1999,2,1,2,3068.0064
6734,FDQ15,20.35,2,.151308326,10,81.7276,10,1999,2,1,2,2030.69
7519,FDG60,20.35,1,.060794097,7,233.6616,10,1999,2,1,2,2577.9776
1353,FDL46,20.35,1,.054056927,2,116.8466,9,1997,1,1,2,2356.932
1436,FDA10,20.35,1,.141789197,2,121.9072,7,2004,1,2,2,1347.5792
3076,FDG60,20.35,1,.060699725,7,233.3616,9,1997,1,1,2,6093.4016
3177,FDL46,20.35,1,.054046706,2,119.5466,7,2004,1,2,2,353.5398
3743,FDX31,20.35,2,.014822802,1,234.0958,7,2004,1,2,2,2570.6538
4604,FDQ15,20.35,2,0,10,81.6276,9,1997,1,1,2,1787.0072
4770,FDX31,20.35,2,.014825605,1,233.2958,9,1997,1,1,2,4206.5244
6354,FDA27,20.35,2,.030927632,5,256.8672,9,1997,1,1,2,3579.3408
7630,NCN54,20.35,1,.021326471,3,76.1328,9,1997,1,1,2,772.328
7689,FDG60,20.35,1,.060688248,7,234.2616,7,2004,1,2,2,4687.232
7821,FDQ15,20.35,2,.151044881,10,79.2276,7,2004,1,2,2,649.8208
8098,NCN54,20.35,1,.021322439,3,79.1328,7,2004,1,2,2,1235.7248
8102,FDR39,20.35,1,.083799283,10,184.1292,9,1997,1,1,2,2189.1504
1230,NCG19,20.25,1,.14781046,3,234.8616,2,1987,3,3,2,2812.3392
1308,FDB37,20.25,2,.022921735,7,240.7538,2,1987,3,3,2,3364.9532
2317,NCI30,20.25,1,.058886477,3,245.546,2,1987,3,3,2,1724.422
2345,DRJ39,20.25,1,.036295834,5,217.5482,2,1987,3,3,2,1095.241
3718,FDV26,20.25,2,.076097073,5,193.5794,2,1987,3,3,2,1950.794
5602,FDB57,20.25,2,.018789455,1,222.0772,2,1987,3,3,2,3113.2808
6017,NCY30,20.25,1,.02593166,3,182.5976,2,1987,3,3,2,3078.6592
6272,FDD40,20.25,2,.014781046,5,193.8162,2,1987,3,3,2,3463.4916
7437,NCN42,20.25,1,0,3,145.6418,2,1987,3,3,2,3384.2614
569,FDD40,20.25,2,.014816356,5,194.1162,10,1999,2,1,2,3848.324
4248,NCG19,20.25,1,.148163564,3,232.7616,10,1999,2,1,2,1874.8928
4732,FDB37,20.25,2,.022976493,7,240.3538,10,1999,2,1,2,4086.0146
7299,NCW05,20.25,1,.148302815,8,108.3938,10,1999,2,1,2,2787.0388
7575,FDV26,20.25,2,0,5,194.2794,10,1999,2,1,2,4291.7468
289,FDB57,20.25,2,.018801549,1,222.1772,7,2004,1,2,2,5559.43
311,FDD40,20.25,2,.014790559,5,193.6162,7,2004,1,2,2,3848.324
432,FDU01,20.25,2,.011995271,6,184.5924,9,1997,1,1,2,4997.4948
458,FDB14,20.25,2,.102723919,6,93.212,9,1997,1,1,2,1957.452
999,DRJ39,20.25,1,.036319195,5,219.3482,7,2004,1,2,2,5038.1086
1216,FDB14,20.25,2,.102704495,6,94.312,7,2004,1,2,2,2982.784
1409,FDD40,20.25,2,.014793357,5,191.5162,9,1997,1,1,2,3078.6592
2104,FDB37,20.25,2,.022940826,7,241.8538,9,1997,1,1,2,5768.4912
2535,NCY30,20.25,1,.025953257,3,179.5976,9,1997,1,1,2,2535.3664
2683,NCN42,20.25,1,.014222617,3,148.9418,9,1997,1,1,2,3531.4032
2777,FDB37,20.25,2,.022936488,7,240.8538,7,2004,1,2,2,7931.6754
3282,NCY30,20.25,1,.02594835,3,180.0976,7,2004,1,2,2,3440.8544
4688,NCI30,20.25,1,.058935522,3,246.646,9,1997,1,1,2,2463.46
5561,FDV26,20.25,2,.076160451,5,196.2794,9,1997,1,1,2,2731.1116
6708,FDV26,20.25,2,.07614605,5,197.0794,7,2004,1,2,2,4681.9056
7893,DRJ39,20.25,1,.036326064,5,220.1482,9,1997,1,1,2,3066.6748
8185,FDF40,20.25,2,.022507877,5,248.1092,7,2004,1,2,2,4731.1748
8332,FDB57,20.25,2,.018805105,1,220.6772,9,1997,1,1,2,2223.772
1036,FDQ49,20.2,2,.039215075,14,157.663,2,1987,3,3,2,2190.482
3227,FDU51,20.2,2,.096433359,10,178.5028,2,1987,3,3,2,4604.6728
3658,NCG30,20.2,1,.112227747,3,123.5046,2,1987,3,3,2,2739.1012
4246,FDY57,20.2,2,.121153331,2,97.3752,2,1987,3,3,2,958.752
5886,NCB43,20.2,1,0,3,187.1898,2,1987,3,3,2,2993.4368
6307,FDV20,20.2,2,.059751638,1,129.1678,2,1987,3,3,2,1017.3424
7317,NCG43,20.2,1,.074177667,3,93.2462,2,1987,3,3,2,1018.0082
7321,FDV60,20.2,2,0,7,197.211,2,1987,3,3,2,3535.398
7879,NCR50,20.2,1,.01181025,3,154.634,2,1987,3,3,2,4287.752
2268,FDV60,20.2,2,.117543713,7,197.311,10,1999,2,1,2,3338.987
3126,NCR50,20.2,1,.011838464,3,155.134,10,1999,2,1,2,2603.278
3319,FDV20,20.2,2,.059894378,1,125.9678,10,1999,2,1,2,2797.6916
4972,FDM21,20.2,1,.064464147,2,255.7646,10,1999,2,1,2,5410.9566
7846,NCG30,20.2,1,.112495847,3,124.4046,10,1999,2,1,2,1120.5414
7853,FDY57,20.2,2,.121442754,2,94.9752,10,1999,2,1,2,1342.2528
1850,NCG30,20.2,1,.112321218,3,123.6046,9,1997,1,1,2,2988.1104
2800,NCB43,20.2,1,.099893424,3,187.6898,7,2004,1,2,2,3928.8858
2857,FDQ49,20.2,2,.039247736,14,157.663,9,1997,1,1,2,1095.241
2942,NCR50,20.2,1,.011820087,3,151.634,9,1997,1,1,2,1990.742
3503,NCV30,20.2,1,.065932087,3,64.851,9,1997,1,1,2,948.765
3657,FDV60,20.2,2,.117339056,7,195.011,7,2004,1,2,2,2749.754
4284,FDV20,20.2,2,.059790095,1,127.4678,7,2004,1,2,2,3560.6984
4785,FDM21,20.2,1,.064351908,2,259.4646,7,2004,1,2,2,2061.3168
5162,FDY57,20.2,2,.121231308,2,97.5752,7,2004,1,2,2,1534.0032
5395,FDY57,20.2,2,.121254236,2,94.5752,9,1997,1,1,2,1821.6288
5862,FDU51,20.2,2,.096495426,10,175.6028,7,2004,1,2,2,3364.9532
7551,NCG43,20.2,1,0,3,94.1462,9,1997,1,1,2,832.9158
1428,NCK05,20.1,1,.077389797,8,60.8536,2,1987,3,3,2,1347.5792
2231,FDE17,20.1,2,.054410179,4,151.3366,2,1987,3,3,2,2720.4588
2652,FDW43,20.1,2,.022406575,1,225.9036,2,1987,3,3,2,3643.2576
3124,FDX50,20.1,1,.074565098,5,111.3228,2,1987,3,3,2,663.1368
5357,FDC57,20.1,2,.054549098,1,193.782,2,1987,3,3,2,1158.492
5939,NCJ06,20.1,1,.034623782,3,118.9782,2,1987,3,3,2,1549.3166
7347,NCX53,20.1,1,.014925407,8,143.4154,2,1987,3,3,2,3545.385
423,FDW43,20.1,2,.022460102,1,226.8036,10,1999,2,1,2,3415.554
2203,FDE17,20.1,2,.054540159,4,152.1366,10,1999,2,1,2,755.683
933,FDX50,20.1,1,.07461309,5,108.7228,7,2004,1,2,2,1215.7508
2157,FDX50,20.1,1,.074627201,5,110.3228,9,1997,1,1,2,1768.3648
2573,FDC57,20.1,2,.054584207,1,193.382,7,2004,1,2,2,4247.804
4058,NCJ06,20.1,1,.034646067,3,120.6782,7,2004,1,2,2,1310.9602
4465,NCK05,20.1,1,.077439606,8,60.6536,7,2004,1,2,2,980.0576
4906,NCK05,20.1,1,.077454252,8,59.2536,9,1997,1,1,2,735.0432
5961,FDE17,20.1,2,.054445198,4,151.7366,7,2004,1,2,2,4836.3712
6396,FDE17,20.1,2,.054455495,4,149.5366,9,1997,1,1,2,2871.5954
7110,FDW43,20.1,2,.022425236,1,226.3036,9,1997,1,1,2,910.8144
3689,NCY53,20,1,0,8,110.2544,2,1987,3,3,2,1454.1072
5176,FDO60,20,1,.034340926,7,45.4086,2,1987,3,3,2,981.3892
7989,FDL02,20,2,.10399676,6,107.4622,2,1987,3,3,2,1587.933
669,FDL02,20,2,.104245198,6,105.3622,10,1999,2,1,2,1270.3464
1403,NCI31,20,1,.0814536,16,36.819,10,1999,2,1,2,768.999
2241,FDR20,20,2,.028167478,1,45.5744,10,1999,2,1,2,452.744
723,FDZ28,20,2,0,4,127.3678,9,1997,1,1,2,1780.3492
976,FDR20,20,2,.028118435,1,46.7744,7,2004,1,2,2,1222.4088
1854,FDU60,20,2,.059889718,7,168.5132,7,2004,1,2,2,2874.9244
2898,FDO60,20,1,.034369528,7,43.7086,9,1997,1,1,2,892.172
3697,NCI31,20,1,.08131178,16,37.819,7,2004,1,2,2,439.428
3939,FDL02,20,2,.104083376,6,107.4622,9,1997,1,1,2,3705.177
5986,NCY53,20,1,.05848134,8,113.3544,9,1997,1,1,2,2572.6512
6086,FDO60,20,1,.034363029,7,43.5086,7,2004,1,2,2,401.4774
923,NCZ41,19.85,1,.064367627,8,126.1704,2,1987,3,3,2,876.1928
1007,FDI57,19.85,1,.053980686,15,196.8768,2,1987,3,3,2,2561.9984
1412,FDS21,19.85,2,.020858779,2,62.8194,2,1987,3,3,2,928.791
1912,NCI43,19.85,1,.025947095,3,46.9376,2,1987,3,3,2,575.2512
3183,FDV14,19.85,1,.044460448,5,88.7856,2,1987,3,3,2,1142.5128
4145,FDK51,19.85,1,.005230786,5,265.1884,2,1987,3,3,2,5034.7796
4940,FDP20,19.85,1,.045631231,1,128.102,2,1987,3,3,2,1265.02
5557,FDG32,19.85,1,.175849067,1,222.0772,2,1987,3,3,2,2001.3948
2507,FDS21,19.85,2,.020908608,2,63.5194,10,1999,2,1,2,557.2746
3417,FDK51,19.85,1,.005243282,5,266.1884,10,1999,2,1,2,3179.8608
4152,FDI57,19.85,1,.05410964,15,195.0768,10,1999,2,1,2,1970.768
6525,FDV14,19.85,1,.044566659,5,88.5856,10,1999,2,1,2,703.0848
274,FDK51,19.85,1,.005234153,5,264.0884,7,2004,1,2,2,5829.7448
702,NCI43,19.85,1,.025963795,3,46.3376,7,2004,1,2,2,1150.5024
1820,FDP20,19.85,1,.045669236,1,126.402,9,1997,1,1,2,1012.016
2529,FDI57,19.85,1,.054025644,15,197.2768,9,1997,1,1,2,6503.5344
3884,FDG32,19.85,1,.175962247,1,223.0772,7,2004,1,2,2,1779.0176
4196,FDK51,19.85,1,.005235143,5,265.8884,9,1997,1,1,2,2649.884
4341,NCI43,19.85,1,.025968706,3,49.5376,9,1997,1,1,2,1006.6896
5120,NCZ41,19.85,1,.064409056,8,126.7704,7,2004,1,2,2,1752.3856
5307,FDV14,19.85,1,.044489064,5,89.4856,7,2004,1,2,2,1054.6272
6430,FDI57,19.85,1,.054015429,15,196.3768,7,2004,1,2,2,4138.6128
7948,FDG32,19.85,1,.175995526,1,224.0772,9,1997,1,1,2,1556.6404
2088,FDY19,19.75,1,.041330512,1,115.8466,2,1987,3,3,2,2474.7786
2372,FDE04,19.75,2,.018008071,4,180.466,2,1987,3,3,2,3415.554
5308,FDT31,19.75,1,.012437935,1,189.9872,2,1987,3,3,2,3781.744
2324,FDE04,19.75,2,.018051091,4,179.866,10,1999,2,1,2,2696.49
2863,FDY19,19.75,1,.041429246,1,117.2466,10,1999,2,1,2,2239.0854
4396,FDT31,19.75,1,.012467648,1,188.1872,10,1999,2,1,2,2458.1336
4743,FDP09,19.75,1,.033942546,2,213.5902,10,1999,2,1,2,4460.1942
656,NCJ42,19.75,1,.014301326,3,103.0332,9,1997,1,1,2,1230.3984
1228,FDT31,19.75,1,.012448294,1,188.2872,9,1997,1,1,2,2647.2208
1461,FDP09,19.75,1,.033883448,2,213.2902,7,2004,1,2,2,4247.804
8430,FDE04,19.75,2,.018019662,4,181.566,7,2004,1,2,2,2876.256
1638,FDO36,19.7,1,.077849003,7,179.166,2,1987,3,3,2,3056.022
2044,FDQ16,19.7,1,.041703666,4,109.1912,2,1987,3,3,2,1637.868
2910,FDA44,19.7,1,.053178425,1,55.993,2,1987,3,3,2,905.488
3853,DRH49,19.7,1,.024635077,9,84.1592,2,1987,3,3,2,1073.2696
5276,NCD30,19.7,1,.026826919,3,98.7726,2,1987,3,3,2,1859.5794
6888,FDR21,19.7,1,.066879757,2,174.437,2,1987,3,3,2,1587.933
2756,FDQ16,19.7,1,.041803291,4,110.3912,10,1999,2,1,2,3275.736
4315,FDH60,19.7,2,0,7,194.411,10,1999,2,1,2,5106.686
4365,FDR21,19.7,1,.067039526,2,178.337,10,1999,2,1,2,1411.496
5035,FDO36,19.7,1,.078034976,7,178.066,10,1999,2,1,2,3954.852
6047,FDA44,19.7,1,.053305463,1,58.193,10,1999,2,1,2,848.895
6560,DRL47,19.7,1,0,12,125.9362,10,1999,2,1,2,1635.8706
7641,FDA49,19.7,1,.0650227,6,87.0198,10,1999,2,1,2,697.7584
8060,FDQ01,19.7,2,.160951491,6,256.1014,10,1999,2,1,2,3060.0168
94,FDA44,19.7,1,.053212652,1,57.893,7,2004,1,2,2,622.523
485,FDR21,19.7,1,.066922802,2,174.837,7,2004,1,2,2,2999.429
927,FDO36,19.7,1,.077899109,7,177.766,7,2004,1,2,2,2696.49
993,FDZ39,19.7,2,.018021361,10,101.199,7,2004,1,2,2,1857.582
1331,FDA49,19.7,1,.064921764,6,88.1198,9,1997,1,1,2,1744.396
2176,DRL47,19.7,1,.038729457,12,127.3362,7,2004,1,2,2,755.0172
2585,FDQ16,19.7,1,.041730507,4,109.2912,7,2004,1,2,2,2402.2064
2734,DRH49,19.7,1,.024655594,9,84.3592,9,1997,1,1,2,743.0328
4235,FDE50,19.7,2,.016202582,6,188.2556,7,2004,1,2,2,3379.6008
4252,FDZ39,19.7,2,.018024769,10,104.499,9,1997,1,1,2,1031.99
4919,FDR21,19.7,1,.066935459,2,177.537,9,1997,1,1,2,3175.866
6105,DRL47,19.7,1,.038736781,12,127.4362,9,1997,1,1,2,1510.0344
