Item_Identifier,Item_Weight,Item_Fat_Content,Item_Visibility,Item_Type,Item_MRP,Outlet_Identifier,Outlet_Establishment_Year,Outlet_Size,Outlet_Location_Type,Outlet_Type,Item_Outlet_Sales
FDL50,12.15,2,0.042277867,1,126.5046,OUT013,1987,0,2,1,0.026063449964296645
FDM39,6.42,0,0.089498926,1,178.1002,OUT010,1998,1,2,0,0.024890339691931045
NCP05,19.6,1,0.021101573,2,153.3024,OUT045,2002,1,1,1,0.18351525043354075
FDV49,10.0,0,0.025879577,1,265.2226,OUT045,2002,1,1,1,0.4429256350096909
FDL12,15.85,2,0.121632721,1,60.622,OUT046,1997,2,0,1,0.19483831480159136
FDS02,12.857645184136183,2,0.255394896,1,196.8794,OUT019,1985,2,0,0,0.057227379373661125
NCL17,7.39,1,0.067779712,2,143.8812,OUT046,1997,2,0,1,0.23758033255125982
FDM40,10.195,0,0.159803853,1,141.5154,OUT013,1987,0,2,1,0.06263388758543303
FDR13,9.895,2,0.028696932,1,117.0492,OUT013,1987,0,2,1,0.05957359991839233
FDA43,10.895,0,0.065041581,1,196.3794,OUT017,2007,1,1,1,0.23656023666224624
NCP18,12.15,1,0.028760013,2,151.4708,OUT017,2007,1,1,1,0.366316433744772
FDK21,7.905,0,0.010053105,1,249.0408,OUT018,2009,1,2,2,0.47689482811384276
NCX54,9.195,1,0.048157338,2,106.1622,OUT045,2002,1,1,1,0.15964500663062328
DRK35,8.365,0,0.071958197,0,38.0506,OUT049,1999,1,0,1,0.05850249923492808
FDY21,15.1,0,0.173481304,1,194.511,OUT046,1997,2,0,1,0.37361011935121896
FDI26,12.857645184136183,0,0.061082177,1,180.0344,OUT019,1985,2,0,0,0.06579618484137509
FDM20,10.0,0,0.0232488068,1,246.9144,OUT018,2009,1,2,2,0.24145669692951136
FDV27,7.97,2,0.040071131,1,87.3514,OUT045,2002,1,1,1,0.07885341222074875
FDF09,12.857645184136183,0,0.012090074,1,38.2848,OUT027,1985,1,2,3,0.034581250637559936
FDY40,12.857645184136183,2,0.15028599,1,51.0692,OUT019,1985,2,0,0,0.00877282464551668
FDY45,12.857645184136183,0,0.026015519,1,255.8356,OUT027,1985,1,2,3,0.19228807507905743
FDC46,17.7,0,0.195068226,1,185.4266,OUT010,1998,1,2,0,0.01157808834030399
FDH19,19.35,0,0.033082215,1,172.5738,OUT035,2004,2,1,1,0.3701927981230236
FDZ03,13.65,2,0.078946455,1,186.024,OUT045,2002,1,1,1,0.08313781495460575
DRH37,17.6,0,0.041700756,0,164.8526,OUT045,2002,1,1,1,0.17382433948791187
NCI17,8.645,1,0.143422643,2,95.841,OUT046,1997,2,0,1,0.1527593593797817
FDJ58,15.6,2,0.105296072,1,170.1764,OUT046,1997,2,0,1,0.2606344996429664
FDL12,15.85,2,0.121531501,1,59.222,OUT013,1987,0,2,1,0.04335407528307662
FDH35,18.25,0,0.056988493333333334,1,164.7526,OUT045,2002,1,1,1,0.3501989186983577
FDG02,7.855,0,0.011324862,1,189.6188,OUT017,2007,1,1,1,0.1724982148321942
NCZ18,7.825,1,0.186357148,2,254.3698,OUT049,1999,1,0,1,0.4249719473630521
FDC29,8.39,2,0.024205661,1,114.0176,OUT046,1997,2,0,1,0.17290625318779965
FDQ10,12.85,0,0.033230816,1,172.3422,OUT049,1999,1,0,1,0.08992145261654595
FDN48,12.857645184136183,0,0.113720344,1,89.9804,OUT019,1985,2,0,0,0.04672039171682138
FDL04,19.0,0,0.112556507,1,104.9622,OUT017,2007,1,1,1,0.11909619504233399
FDV25,5.905,0,0.0434213736,1,222.5456,OUT045,2002,1,1,1,0.4038559624604713
FDD58,7.76,0,0.059352241,1,101.87,OUT046,1997,2,0,1,0.1275119861266959
FDN04,11.8,2,0.014087057,1,180.3344,OUT046,1997,2,0,1,0.10680403957972051
FDV45,16.75,0,0.045230944,1,187.9556,OUT018,2009,1,2,2,0.35703356115474855
NCL18,12.857645184136183,1,0.293417759,2,194.6136,OUT019,1985,2,0,0,0.04212996021626033
FDR12,12.857645184136183,2,0.031382044,1,171.3764,OUT027,1985,1,2,3,0.23431602570641638
FDG20,15.5,2,0.12639886,1,177.0028,OUT017,2007,1,1,1,0.18739161481179228
FDZ55,6.055,0,0.025403898,1,160.992,OUT035,2004,2,1,1,0.2055493216362338
FDQ49,12.857645184136183,2,0.039057677,1,155.963,OUT027,1985,1,2,3,0.24915842089156381
FDN33,6.305,2,0.123115764,1,95.6436,OUT046,1997,2,0,1,0.048148525961440376
FDN27,20.85,0,0.039624006,1,117.2808,OUT049,1999,1,0,1,0.11414872998061819
FDW20,20.75,0,0.040421193,1,122.173,OUT010,1998,1,2,0,0.025757421197592577
DRG27,8.895,0,0.105274111,0,39.9138,OUT049,1999,1,0,1,0.05034173212281955
DRI25,19.6,0,0.033970195,0,55.1614,OUT045,2002,1,1,1,0.1032847087626237
FDA44,19.7,0,0.053212652,1,57.893,OUT035,2004,2,1,1,0.04513924308885035
NCR17,9.8,1,0.024378706,2,114.5492,OUT035,2004,2,1,1,0.09507293685606448
FDU04,12.857645184136183,0,0.009714595,1,120.0414,OUT019,1985,2,0,0,0.034785269815362646
FDF41,12.15,0,0.131383762,1,246.046,OUT049,1999,1,0,1,0.09180863001122105
FDB56,8.75,2,0.07461309,1,187.4556,OUT035,2004,2,1,1,0.28511680097929204
NCP18,12.857645184136183,1,0.028459761,2,149.9708,OUT027,1985,1,2,3,0.33173518310721206
FDB56,8.75,2,0.074627201,1,187.8556,OUT046,1997,2,0,1,0.09813322452310518
FDT28,13.3,0,0.063695084,1,151.0708,OUT045,2002,1,1,1,0.13577476282770579
FDD10,12.857645184136183,2,0.045797829,1,178.5344,OUT027,1985,1,2,3,0.21615831888197493
FDW57,8.31,2,0.115857223,1,179.1028,OUT049,1999,1,0,1,0.29592981740283586
DRB48,16.75,2,0.024832806,0,38.7822,OUT013,1987,0,2,1,0.04860756911149649
FDP09,19.75,0,0.034027909,1,212.0902,OUT018,2009,1,2,2,0.24150770172396205
FDH14,17.1,2,0.0467696,1,141.1838,OUT013,1987,0,2,1,0.16964194634295623
FDA47,10.5,2,0.116576702,1,163.121,OUT013,1987,0,2,1,0.13490768132204425
FDG12,6.635,2,0.004224196666666667,1,121.3098,OUT045,2002,1,1,1,0.19131898398449454
DRE60,12.857645184136183,0,0.278974075,0,225.372,OUT019,1985,2,0,0,0.049474650617158014
DRK49,14.15,0,0.035913805,0,41.4138,OUT013,1987,0,2,1,0.059675609507293684
FDD03,13.3,0,0.079806266,1,232.53,OUT046,1997,2,0,1,0.05100479445067837
FDS52,8.89,0,0.005505481,1,102.4016,OUT017,2007,1,1,1,0.2067734367030501
FDW39,12.857645184136183,2,0.064625342,1,176.937,OUT019,1985,2,0,0,0.01096603080689585
FDX34,12.857645184136183,0,0.071636937,1,121.7098,OUT027,1985,1,2,3,0.3113332653269407
FDV11,9.1,2,0.07503556575,1,173.2054,OUT045,2002,1,1,1,0.23890645720697745
FDD17,7.5,0,0.032677678,1,239.0906,OUT049,1999,1,0,1,0.4526675507497705
FDZ16,16.85,2,0.160760054,1,192.4478,OUT017,2007,1,1,1,0.36850963990615115
FDZ46,7.485,0,0.06911065,1,109.0228,OUT035,2004,2,1,1,0.19218606549015604
DRA12,11.6,0,0.041177505,0,140.3154,OUT017,2007,1,1,1,0.19300214220136694
FDY58,11.65,0,0.040081193,1,227.0694,OUT018,2009,1,2,2,0.08492298276037948
NCF19,13.0,1,0.035307322,2,47.5034,OUT017,2007,1,1,1,0.04957666020605937
DRJ13,12.65,0,0.063017847,0,159.0578,OUT045,2002,1,1,1,0.15724778129144137
FDB14,20.25,2,0.171938781,1,92.512,OUT010,1998,1,2,0,0.011731102723656024
FDJ38,8.6,2,0.040197932,1,190.153,OUT035,2004,2,1,1,0.23003162297255939
FDW11,12.6,0,0.049058014,1,62.7194,OUT017,2007,1,1,1,0.06385800265224931
FDL40,17.7,0,0.01161096,1,95.041,OUT035,2004,2,1,1,0.06401101703560136
DRI49,14.15,0,0.183507295,0,82.4276,OUT046,1997,2,0,1,0.08456594919922474
FDV38,19.25,0,0.102349519,1,52.7956,OUT017,2007,1,1,1,0.06855044374171172
DRG23,8.88,0,0.086708987,0,151.7682,OUT013,1987,0,2,1,0.055850249923492815
NCP30,20.5,1,0.032835147,2,40.2822,OUT045,2002,1,1,1,0.05161685198408651
FDY25,12.857645184136183,0,0.033809913,1,180.5976,OUT027,1985,1,2,3,0.6078751402631848
NCH54,13.5,1,0.07266912,2,160.292,OUT046,1997,2,0,1,0.10762011629093135
NCR53,12.857645184136183,1,0.144338493,2,224.4404,OUT027,1985,1,2,3,0.5318779965316741
FDS52,8.89,0,0.009163216,1,101.7016,OUT010,1998,1,2,0,0.005202489033969193
FDG02,7.855,0,0.011307038,1,188.5188,OUT018,2009,1,2,2,0.07038661634193615
NCO26,7.235,1,0.076855628,2,116.0492,OUT046,1997,2,0,1,0.14832194226257267
FDH35,12.857645184136183,0,0.059956876,1,165.4526,OUT027,1985,1,2,3,0.4005916556156278
FDB51,6.92,0,0.038532062,1,60.5852,OUT045,2002,1,1,1,0.09813322452310518
FDX44,9.3,0,0.043209581,1,90.8172,OUT017,2007,1,1,1,0.038457615015811485
NCN07,18.5,1,0.056816465,2,132.1284,OUT010,1998,1,2,0,0.017647658879934712
NCC31,8.02,1,0.019866705,2,154.5972,OUT035,2004,2,1,1,0.10486585739059472
NCX54,9.195,1,0.048331717,2,105.1622,OUT017,2007,1,1,1,0.12720595735999182
NCO55,12.8,1,0.091221855,2,105.5938,OUT045,2002,1,1,1,0.16168519840865042
NCC30,16.6,1,0.027622076,2,177.6344,OUT049,1999,1,0,1,0.2024890339691931
FDI16,14.0,2,0.128357683,1,53.064,OUT035,2004,2,1,1,0.06681628073038866
FDP16,18.6,0,0.039355947,1,246.3802,OUT049,1999,1,0,1,0.5620728348464756
FDB11,16.0,0,0.060836524,1,226.8404,OUT035,2004,2,1,1,0.4801591349586861
NCB06,17.6,1,0.082316506,2,160.692,OUT035,2004,2,1,1,0.11986126695909416
FDA45,21.25,0,0.155350299,1,178.237,OUT035,2004,2,1,1,0.037998571865755386
NCO26,7.235,1,0.076841095,2,117.5492,OUT035,2004,2,1,1,0.14832194226257267
DRJ25,14.6,0,0.151419185,0,50.3692,OUT017,2007,1,1,1,0.07671121085382027
FDR28,13.85,2,0.026001976,1,161.521,OUT018,2009,1,2,2,0.13490768132204425
FDI04,13.65,2,0.073209447,1,197.6426,OUT018,2009,1,2,2,0.20952769560338672
DRK12,12.857645184136183,0,0.041683481,0,31.29,OUT027,1985,1,2,3,0.06630623278588188
FDX20,7.365,0,0.042560252,1,226.172,OUT046,1997,2,0,1,0.24023258186269508
NCI18,18.35,1,0.014081156,2,223.5746,OUT018,2009,1,2,2,0.2724676119555238
FDB36,5.465,2,0.034674895857142854,1,132.5626,OUT018,2009,1,2,2,0.017545649291033357
FDN13,18.6,0,0.152918384,1,99.8358,OUT017,2007,1,1,1,0.1437825155564623
DRD24,13.85,0,0.030969274,0,140.9154,OUT017,2007,1,1,1,0.12781801489339997
FDQ28,14.0,2,0.060376776,1,154.5656,OUT013,1987,0,2,1,0.18677955727838416
FDM22,14.0,2,0.04192285,1,54.764,OUT013,1987,0,2,1,0.0994593491788228
FDR07,12.857645184136183,0,0.077367431,1,97.0094,OUT027,1985,1,2,3,0.13602978679995917
FDV25,5.905,0,0.045838211,1,222.5456,OUT018,2009,1,2,2,0.25145363664184434
DRF49,7.27,0,0.071077939,0,114.2518,OUT046,1997,2,0,1,0.19805161685198405
FDW51,6.155,2,0.094659871,1,214.556,OUT046,1997,2,0,1,0.20962970519228807
DRL01,19.5,2,0.077608838,0,233.4958,OUT017,2007,1,1,1,0.4092114658777925
FDP25,15.2,0,0.021327477,1,216.8824,OUT017,2007,1,1,1,0.21493420381515863
FDL50,12.15,2,0.042485444,1,125.0046,OUT018,2009,1,2,2,0.13098031214934203
NCB30,12.857645184136183,1,0.025578526,2,198.8084,OUT027,1985,1,2,3,0.4230337651739263
FDW11,12.6,0,0.0489808,1,61.9194,OUT018,2009,1,2,2,0.04488421911659696
NCM43,14.5,1,0.019471688,2,164.821,OUT035,2004,2,1,1,0.15990003060287666
FDK44,16.6,0,0.122918852,1,173.0738,OUT017,2007,1,1,1,0.29031929001326123
FDM15,11.8,2,0.057373797,1,151.4366,OUT013,1987,0,2,1,0.10165255534020198
FDS31,13.1,2,0.044155597,1,178.8318,OUT013,1987,0,2,1,0.3015403447924105
FDI32,17.7,0,0.291865402,1,115.1834,OUT010,1998,1,2,0,0.023921248597368154
FDR47,17.85,0,0.070087623,1,196.5794,OUT010,1998,1,2,0,0.04228297459961237
FDB35,12.3,2,0.064750025,1,92.6804,OUT045,2002,1,1,1,0.07487503825359584
NCU05,11.8,1,0.098312421,2,81.4618,OUT010,1998,1,2,0,0.009792920534530247
DRY23,12.857645184136183,2,0.191013663,0,42.1112,OUT019,1985,2,0,0,0.0007140671223094968
FDO24,11.1,0,0.176573035,1,157.4604,OUT045,2002,1,1,1,0.22809344078343366
FDQ28,12.857645184136183,2,0.060134441,1,153.0656,OUT027,1985,1,2,3,0.4589411404672039
FDV39,11.3,0,0.007294652,1,198.1426,OUT045,2002,1,1,1,0.07319188003672346
NCO17,12.857645184136183,1,0.128478462,2,117.944,OUT019,1985,2,0,0,0.015811486279710293
FDU50,5.75,2,0.075107656,1,112.8176,OUT013,1987,0,2,1,0.10272365602366623
FDT12,12.857645184136183,2,0.049381406,1,226.8062,OUT027,1985,1,2,3,0.36055289197184537
FDK58,11.35,2,0.045165796,1,100.0016,OUT018,2009,1,2,2,0.0749770478424972
FDO08,12.857645184136183,2,0.09415375,1,165.7526,OUT019,1985,2,0,0,0.0478424971947363
NCW29,14.0,1,0.028907832,2,130.431,OUT049,1999,1,0,1,0.057125369784759766
FDE04,19.75,2,0.018059621,1,179.766,OUT045,2002,1,1,1,0.17647658879934713
NCB19,6.525,1,0.090436094,2,85.0882,OUT049,1999,1,0,1,0.1685198408650413
FDV15,10.3,0,0.146399712,1,103.9648,OUT049,1999,1,0,1,0.12475772722635929
FDL58,5.78,2,0.074264356,1,264.7568,OUT049,1999,1,0,1,0.36101193512190144
FDA08,11.85,2,0.050186726,1,164.1526,OUT045,2002,1,1,1,0.23681526063449965
FDT43,16.35,0,0.020631654,1,50.1324,OUT018,2009,1,2,2,0.03325512598184229
NCX06,12.857645184136183,1,0.01561108,2,182.5976,OUT027,1985,1,2,3,0.3859022748138325
FDT20,10.5,0,0.041395445,1,37.6164,OUT046,1997,2,0,1,0.03886565337141691
FDB41,19.0,2,0.097313129,1,48.0718,OUT046,1997,2,0,1,0.07349790880342753
NCN55,14.6,1,0.059582996,2,238.8538,OUT049,1999,1,0,1,0.45776803019483836
FDE40,12.857645184136183,2,0.098663652,1,62.9194,OUT027,1985,1,2,3,0.15872692033051106
FDX49,12.857645184136183,2,0.101338651,1,232.63,OUT027,1985,1,2,3,0.4080383556054269
NCM53,18.75,1,0.052146456,2,104.628,OUT045,2002,1,1,1,0.054575130062225856
FDE36,5.26,2,0.041764487,1,161.8868,OUT035,2004,2,1,1,0.24839334897480364
FDN57,18.25,0,0.054344186,1,140.2154,OUT045,2002,1,1,1,0.12781801489339997
FDI24,12.857645184136183,0,0.078362484,1,177.937,OUT027,1985,1,2,3,0.5110680403957972
FDI19,15.1,0,0.052339069,1,242.7512,OUT046,1997,2,0,1,0.3130674283382638
FDF24,15.5,2,0.042464962,1,81.5934,OUT010,1998,1,2,0,0.022544119147199837
FDG52,13.65,0,0.065732883,1,45.7402,OUT049,1999,1,0,1,0.057278384168111804
DRF36,16.1,0,0.023625114,0,189.3846,OUT045,2002,1,1,1,0.27557890441701516
FDS45,12.857645184136183,2,0.051643608,1,107.3622,OUT019,1985,2,0,0,0.02177904723043966
FDX40,12.85,0,0.165694219,1,39.7164,OUT010,1998,1,2,0,0.015199428746302153
DRK12,9.5,0,0.041878397,0,32.99,OUT035,2004,2,1,1,0.007650719167601755
DRC27,13.8,0,0.058091482,0,245.1802,OUT035,2004,2,1,1,0.4303274507803733
FDL58,5.78,2,0.071187097125,1,263.7568,OUT017,2007,1,1,1,0.1994287463021524
NCD30,19.7,1,0.026903714,2,96.0726,OUT045,2002,1,1,1,0.09491992247271244
NCZ54,14.65,1,0.080426149,2,161.5552,OUT010,1998,1,2,0,0.022340099969397124
FDE10,6.67,2,0.150554711,1,130.0626,OUT010,1998,1,2,0,0.007497704784249719
FDR44,6.11,2,0.09016231275,1,131.2968,OUT010,1998,1,2,0,0.017443639702132002
FDP28,13.65,2,0.134975628,1,260.0936,OUT010,1998,1,2,0,0.017443639702132002
FDX15,17.2,0,0.15616879,1,160.6578,OUT013,1987,0,2,1,0.28016933591757626
FDA39,6.32,0,0.012208282125,1,40.2822,OUT035,2004,2,1,1,0.08471896358257677
FDY24,4.88,2,0.133700752,1,52.9298,OUT049,1999,1,0,1,0.15031112924614912
FDC60,5.425,2,0.115119905,1,88.3514,OUT017,2007,1,1,1,0.10598796286850964
FDH28,15.85,2,0.110030997,1,37.2506,OUT046,1997,2,0,1,0.01780067326328675
FDT25,7.5,0,0.051038045,1,121.7072,OUT017,2007,1,1,1,0.2696113434662858
DRJ13,12.65,0,0.062837968,0,161.5578,OUT013,1987,0,2,1,0.18183209221666838
NCO07,12.857645184136183,1,0.017116983,2,211.956,OUT019,1985,2,0,0,0.01377129450168316
FDW20,20.75,0,0.024129332,1,124.173,OUT013,1987,0,2,1,0.22391104763847802
DRF27,12.857645184136183,0,0.049754975,0,152.134,OUT019,1985,2,0,0,0.009180863001122103
FDS49,9.0,0,0.0636497982,1,79.7644,OUT035,2004,2,1,1,0.12383964092624707
FDX25,12.857645184136183,0,0.101561568,1,181.9292,OUT027,1985,1,2,3,0.23503009282872592
NCX42,12.857645184136183,1,0.005949644,2,165.6526,OUT027,1985,1,2,3,0.3627971029276752
FDG33,12.857645184136183,2,0.13956116,1,170.4764,OUT027,1985,1,2,3,0.2606344996429664
FDL56,14.1,0,0.126035694,1,86.4198,OUT045,2002,1,1,1,0.08431092522697135
FDF14,7.55,0,0.027164679,1,152.334,OUT035,2004,2,1,1,0.19687850657961847
NCD06,13.0,1,0.099325278,2,45.406,OUT046,1997,2,0,1,0.0438641232275834
DRM47,12.857645184136183,0,0.04357366,0,192.8846,OUT027,1985,1,2,3,0.17311027236560234
FDS46,12.857645184136183,2,0.082741482,1,118.7782,OUT019,1985,2,0,0,0.006579618484137509
FDB35,12.3,2,0.064565202,1,92.9804,OUT013,1987,0,2,1,0.14526165459553197
FDX21,12.857645184136183,0,0.084554569,1,109.8912,OUT027,1985,1,2,3,0.15638069978577984
NCU05,12.857645184136183,1,0.058451805,2,79.9618,OUT027,1985,1,2,3,0.015964500663062327
NCR38,17.25,1,0.113748685,2,251.3724,OUT045,2002,1,1,1,0.5180046924410895
NCR18,15.85,1,0.020603511,2,42.7112,OUT017,2007,1,1,1,0.04641436295011731
NCU41,18.85,1,0.052044976,2,192.1846,OUT035,2004,2,1,1,0.2463021524023258
FDY56,16.35,2,0.062764429,1,227.6062,OUT017,2007,1,1,1,0.550749770478425
DRJ51,14.1,0,0.087977262,0,229.0668,OUT035,2004,2,1,1,0.24451698459655208
FDK21,7.905,0,0.010010425,1,249.0408,OUT035,2004,2,1,1,0.28511680097929204
FDY25,12.0,0,0.033946163,1,179.3976,OUT013,1987,0,2,1,0.26104253799857186
FDU44,12.15,2,0.058414678,1,163.4552,OUT035,2004,2,1,1,0.07212077935325921
FDL43,10.1,0,0.027106459,1,75.367,OUT049,1999,1,0,1,0.03850861981026217
FDF05,17.5,0,0.027022883,1,262.491,OUT017,2007,1,1,1,0.40038763643782516
DRF15,12.857645184136183,0,0.058153409,0,152.034,OUT019,1985,2,0,0,0.020911965724778128
FDL20,17.1,0,0.128937661,1,112.3886,OUT018,2009,1,2,2,0.13373457104967865
FDV32,7.785,0,0.088846306,1,61.451,OUT049,1999,1,0,1,0.05559522595123941
FDJ34,11.8,2,0.09357779,1,125.9704,OUT013,1987,0,2,1,0.14128328062837905
FDG08,13.15,2,0.165694678,1,171.8764,OUT045,2002,1,1,1,0.2869529735795165
FDQ04,12.857645184136183,0,0.148392623,1,41.5796,OUT019,1985,2,0,0,0.0006120575334081406
FDW13,8.5,0,0.098438394,1,51.1324,OUT017,2007,1,1,1,0.017341630113230644
NCI17,8.645,1,0.143303291,2,96.341,OUT013,1987,0,2,1,0.012241150668162806
FDY03,17.6,2,0.076276208,1,110.9202,OUT045,2002,1,1,1,0.12674691420993572
FDS12,9.1,0,0.175103435,1,127.5362,OUT017,2007,1,1,1,0.3541262878710599
FDJ55,12.8,2,0.023511371,1,225.9404,OUT013,1987,0,2,1,0.37672141181271035
DRK01,7.63,0,0.06105276,0,95.4436,OUT035,2004,2,1,1,0.106089972457411
FDG28,9.285,2,0.049559042,1,246.4144,OUT017,2007,1,1,1,0.09129858206671426
FDY38,13.6,2,0.119418124,1,231.03,OUT045,2002,1,1,1,0.4080383556054269
FDN01,8.895,0,0.072545601,1,176.237,OUT045,2002,1,1,1,0.13261246557176373
NCR54,16.35,1,0.090486828,2,195.211,OUT013,1987,0,2,1,0.19305314699581758
FDG29,17.6,0,0.056245075,1,43.3454,OUT013,1987,0,2,1,0.07456900948689177
FDG24,7.975,0,0.014618973,1,85.225,OUT013,1987,0,2,1,0.08033255125981842
FDG59,15.85,0,0.043479126,1,36.7164,OUT017,2007,1,1,1,0.021115984902580844
FDM28,15.7,0,0.045166237,1,178.666,OUT013,1987,0,2,1,0.1902478833010303
FDW04,8.985,2,0.057827101,1,128.831,OUT046,1997,2,0,1,0.10685504437417118
FDS26,20.35,0,0.089394766,1,260.1594,OUT013,1987,0,2,1,0.15780883403039886
FDQ56,6.59,0,0.10550944,1,85.6908,OUT013,1987,0,2,1,0.14526165459553197
FDK51,19.85,0,0.005234153,1,264.0884,OUT035,2004,2,1,1,0.44404774048760587
FDL22,16.85,0,0.036390174,1,91.4488,OUT046,1997,2,0,1,0.15699275731918802
FDH19,12.857645184136183,0,0.03292824,1,173.1738,OUT027,1985,1,2,3,0.5565643170458023
FDY55,16.75,0,0.081252534,1,256.4988,OUT013,1987,0,2,1,0.5683974293583597
FDY03,17.6,2,0.076552407,1,110.5202,OUT017,2007,1,1,1,0.03192900132612466
FDK21,7.905,0,0.016758569,1,250.4408,OUT010,1998,1,2,0,0.035805365704376216
FDZ10,12.857645184136183,0,0.044248175,1,126.202,OUT027,1985,1,2,3,0.2784861777007039
FDZ32,7.785,2,0.038288087,1,103.1964,OUT018,2009,1,2,2,0.05386106293991636
NCZ18,7.825,1,0.186032678,2,253.0698,OUT035,2004,2,1,1,0.46383760073446906
NCF07,12.857645184136183,1,0.031867464,2,101.0016,OUT027,1985,1,2,3,0.1602570641640314
DRE49,20.75,0,0.021370201,0,153.0024,OUT017,2007,1,1,1,0.1718861572987861
FDJ08,12.857645184136183,0,0.193772568,1,190.3846,OUT019,1985,2,0,0,0.04136488829950015
FDT39,6.26,2,0.009866049,1,151.1366,OUT035,2004,2,1,1,0.1711210853820259
FDE08,18.2,0,0.082551042,1,147.3734,OUT010,1998,1,2,0,0.020197898602468633
NCD06,13.0,1,0.099729888,2,46.306,OUT018,2009,1,2,2,0.040293787616035914
